source_policy,score_panel,dimension,task,null_mse,global_model_mse,task_model_mse,relative_mse_reduction,split_p05,split_p95,fraction_splits_improved
conservative_cohort,without_deepseek-v4-pro,cognitive_load,mathdial_standard,0.34147444595205784,0.2937693001665769,0.2927261530424046,0.0035240119802112824,-0.050901635949551896,0.03763373585854676,0.68
conservative_cohort,without_deepseek-v4-pro,diagnostic_specificity,ALL_EQUAL_TASK_WEIGHT,0.7023287480247471,0.6643764129908339,0.6513407704131774,0.019675042546179716,-0.023485545197674585,0.04195101286180397,0.86
conservative_cohort,without_deepseek-v4-pro,diagnostic_specificity,longtutor,0.7387152777777779,0.6388679681646393,0.5890597181145089,0.07806113767980272,0.028678314197727,0.121226827532562,0.99
conservative_cohort,without_deepseek-v4-pro,diagnostic_specificity,mathdial_hard,0.8481867283950616,0.8185944925808496,0.842500988292689,-0.028785620528617183,-0.1129382976285019,0.01435986687522403,0.23
conservative_cohort,without_deepseek-v4-pro,diagnostic_specificity,mathdial_standard,0.520084237901402,0.5356667782270131,0.5224616048323344,0.02450054244585412,-0.024739810025162658,0.05282294080820225,0.89
conservative_cohort,without_deepseek-v4-pro,elicitation,ALL_EQUAL_TASK_WEIGHT,1.290561353934592,0.9812912519111228,0.9372420915942604,0.04493792139706709,0.007248740785281887,0.07120434007333541,0.97
conservative_cohort,without_deepseek-v4-pro,elicitation,longtutor,0.9074652777777777,0.7472689057397919,0.6330126541630728,0.15298913105755113,0.0748164322715805,0.2002842272120425,1.0
conservative_cohort,without_deepseek-v4-pro,elicitation,mathdial_hard,1.5648849607182942,1.2172936556736091,1.204917108739939,0.010603175989682065,-0.07227496947388794,0.06280277499225827,0.67
conservative_cohort,without_deepseek-v4-pro,elicitation,mathdial_standard,1.399333823307704,0.9793111943199674,0.9737965118797693,0.0056814480572511036,-0.046738686594704835,0.03584771643861061,0.7
conservative_cohort,without_deepseek-v4-pro,epistemic_caution,ALL_EQUAL_TASK_WEIGHT,0.14612678575416968,0.14450460899981316,0.14416170779582876,0.0024379126294768773,-0.028830501930509542,0.027718775830786076,0.57
conservative_cohort,without_deepseek-v4-pro,epistemic_caution,longtutor,0.1762152777777778,0.16846751501287052,0.166195337216167,0.013769238128540912,-0.045159612794775414,0.06054350947034826,0.73
conservative_cohort,without_deepseek-v4-pro,epistemic_caution,mathdial_hard,0.10662177328843997,0.11062238301712636,0.11233424426357091,-0.015306947230453838,-0.09204880115098597,0.034768744923995995,0.41
conservative_cohort,without_deepseek-v4-pro,epistemic_caution,mathdial_standard,0.15554330619629128,0.15442392896944257,0.15395554190774835,0.0031644689830826957,-0.05202170705253488,0.03242335983512663,0.64
conservative_cohort,without_deepseek-v4-pro,help_directness,ALL_EQUAL_TASK_WEIGHT,0.7994829095264419,0.598659432519435,0.5950862607907942,0.006003172789043053,-0.0235058144856643,0.02924691258421085,0.63
conservative_cohort,without_deepseek-v4-pro,help_directness,longtutor,0.5638888888888889,0.42458005758923917,0.40207031651133734,0.05293072591049456,-0.013551975115585944,0.10311015454366014,0.9
conservative_cohort,without_deepseek-v4-pro,help_directness,mathdial_hard,0.9155092592592594,0.7172100665426544,0.7268894609825216,-0.013088432153936376,-0.0885692014735723,0.0339118573823693,0.44
conservative_cohort,without_deepseek-v4-pro,help_directness,mathdial_standard,0.9190505804311775,0.6541881734264117,0.6562990048785237,-0.003216666870015511,-0.04384498866688058,0.026638066417980322,0.52
conservative_cohort,without_deepseek-v4-pro,personalization,ALL_EQUAL_TASK_WEIGHT,0.4644481803245277,0.41523429322839933,0.35911701543427677,0.13533175137461498,0.08944986741279087,0.163303696652901,1.0
conservative_cohort,without_deepseek-v4-pro,personalization,longtutor,1.1772569444444445,0.9755431699358327,0.876058001366898,0.10224461111316302,0.039889453520151094,0.13922911383875863,0.99
