event,replicate,comparison,gain,training_rows,unique_original_training_sources,default_minus_style_risk
answer_reveal,99,default_vs_context,0.09099985599510794,1280,21,-0.08038642822993346
answer_reveal,99,student_state_vs_domain,6.166592440513124e-05,1280,21,-0.08038642822993346
answer_reveal,100,default_vs_context,0.08905585755322057,1280,17,-0.07203522249579725
answer_reveal,100,student_state_vs_domain,-0.002720472766152157,1280,17,-0.07203522249579725
answer_reveal,101,default_vs_context,0.08903058764283149,1400,20,-0.07700557061599038
answer_reveal,101,student_state_vs_domain,0.00031878189212100616,1400,20,-0.07700557061599038
answer_reveal,102,default_vs_context,0.08764861079674013,1240,18,-0.07275163959496486
answer_reveal,102,student_state_vs_domain,-0.0005913694796205737,1240,18,-0.07275163959496486
answer_reveal,103,default_vs_context,0.0899980088902475,1280,21,-0.07356194420755599
answer_reveal,103,student_state_vs_domain,0.00022636955928086178,1280,21,-0.07356194420755599
answer_reveal,104,default_vs_context,0.08942853202309368,1320,21,-0.0752903064935815
answer_reveal,104,student_state_vs_domain,9.736422174015658e-05,1320,21,-0.0752903064935815
answer_reveal,105,default_vs_context,0.09009922440971035,1320,19,-0.07247580054280087
answer_reveal,105,student_state_vs_domain,0.0001096991944690151,1320,19,-0.07247580054280087
answer_reveal,106,default_vs_context,0.0871594508834754,1240,21,-0.08021878415308684
answer_reveal,106,student_state_vs_domain,1.196941502676352e-06,1240,21,-0.08021878415308684
answer_reveal,107,default_vs_context,0.08953173460022548,1360,22,-0.07185894433313697
answer_reveal,107,student_state_vs_domain,0.00016122039436031188,1360,22,-0.07185894433313697
answer_reveal,108,default_vs_context,0.09128943995165545,1280,20,-0.06775440763841628
answer_reveal,108,student_state_vs_domain,0.00036850268773491734,1280,20,-0.06775440763841628
answer_reveal,109,default_vs_context,0.08941437150721901,1200,19,-0.07389788827780061
answer_reveal,109,student_state_vs_domain,-0.0009180306969348295,1200,19,-0.07389788827780061
answer_reveal,110,default_vs_context,0.08721084556109421,1280,20,-0.07250782687676374
answer_reveal,110,student_state_vs_domain,0.00016400820652966164,1280,20,-0.07250782687676374
answer_reveal,111,default_vs_context,0.08812596325973217,1240,20,-0.07515081634384109
answer_reveal,111,student_state_vs_domain,0.0002441193010705861,1240,20,-0.07515081634384109
answer_reveal,112,default_vs_context,0.09092745117820479,1280,20,-0.07005274864659784
answer_reveal,112,student_state_vs_domain,0.000399233037838731,1280,20,-0.07005274864659784
answer_reveal,113,default_vs_context,0.08866010081482992,1280,19,-0.08139055508765192
answer_reveal,113,student_state_vs_domain,-0.0004454241310655055,1280,19,-0.08139055508765192
answer_reveal,114,default_vs_context,0.09038414396637985,1280,19,-0.06579091287099846
answer_reveal,114,student_state_vs_domain,0.00010474634473075367,1280,19,-0.06579091287099846
answer_reveal,115,default_vs_context,0.09044445161384718,1200,18,-0.07395692555838951
answer_reveal,115,student_state_vs_domain,0.00017137720228663222,1200,18,-0.07395692555838951
answer_reveal,116,default_vs_context,0.09004955614426982,1200,21,-0.07454727026360372
answer_reveal,116,student_state_vs_domain,0.00011706099164821016,1200,21,-0.07454727026360372
answer_reveal,117,default_vs_context,0.08734938263749722,1280,20,-0.0779403364869376
answer_reveal,117,student_state_vs_domain,-0.0003604658133993799,1280,20,-0.0779403364869376
answer_reveal,118,default_vs_context,0.09069672622859028,1200,20,-0.06958128568559009
answer_reveal,118,student_state_vs_domain,-0.00024230812946991753,1200,20,-0.06958128568559009
answer_reveal,119,default_vs_context,0.08788834025561815,1280,17,-0.08338898725790314
answer_reveal,119,student_state_vs_domain,-0.000525185642300946,1280,17,-0.08338898725790314
