arm,event,comparison,sources,gain,bootstrap_95_low,bootstrap_95_high,source_standard_error,p_one_sided,test_note,panel
implicit,answer_reveal,conditional,32,-0.0005592195010723492,-0.0016307552146240286,0.0005331486452118336,0.0006155544512154925,0.8146834293970541,,drop_generator_fixed_forecasts:MiniMax-M2.7
implicit,answer_reveal,default,32,0.09275492120393966,0.07323169173994891,0.11085663349153486,0.012165594073032316,6.736470126599284e-09,,drop_generator_fixed_forecasts:MiniMax-M2.7
implicit,reasoning_elicitation,conditional,32,-0.000831676239391726,-0.00181956219200125,7.779127408567163e-05,0.0005071542629638026,0.9444307473830761,,drop_generator_fixed_forecasts:MiniMax-M2.7
implicit,reasoning_elicitation,default,32,0.1426338052236462,0.12867702773874373,0.15613936679794232,0.00747762079635281,5.49335414967622e-19,,drop_generator_fixed_forecasts:MiniMax-M2.7
peer_control,affect_acknowledgement,conditional,32,0.009977667648575267,0.00484450100824406,0.015473946551976337,0.002903377658699255,0.0008488799919675788,,drop_generator_fixed_forecasts:MiniMax-M2.7
peer_control,affect_acknowledgement,default,32,0.016129767415343808,0.009865023556479767,0.022282175680305123,0.0032698196539246746,1.3014129472653921e-05,,drop_generator_fixed_forecasts:MiniMax-M2.7
peer_control,answer_reveal,conditional,32,0.00022015719792579198,-0.0012768808618054768,0.001614382021663377,0.00079953961384516,0.39243532190503316,,drop_generator_fixed_forecasts:MiniMax-M2.7
peer_control,answer_reveal,default,32,0.0985091995753984,0.07645526374680342,0.11910340072699124,0.01266274974914588,4.442689496794928e-09,,drop_generator_fixed_forecasts:MiniMax-M2.7
peer_control,reasoning_elicitation,conditional,32,0.002353521419710862,0.0014209001643923573,0.0032771884630836616,0.0005496261905507878,8.29254949716704e-05,,drop_generator_fixed_forecasts:MiniMax-M2.7
peer_control,reasoning_elicitation,default,32,0.13909881632533977,0.1301208046717935,0.14743179547101834,0.005037488019005547,1.0796672712814248e-23,,drop_generator_fixed_forecasts:MiniMax-M2.7
canonical,affect_acknowledgement,conditional,32,0.012574940960763066,0.007999877817090531,0.01717627694527942,0.002493439867570102,9.487992808931812e-06,,drop_generator_fixed_forecasts:MiniMax-M3
canonical,affect_acknowledgement,default,32,0.020501694341282295,0.01637721199783801,0.02472355071570928,0.0022901442975665075,2.1030234736267564e-10,,drop_generator_fixed_forecasts:MiniMax-M3
canonical,answer_reveal,conditional,32,-0.0004755473762952831,-0.0012417127989484216,0.00034910156574678204,0.00042093727037408176,0.8663729306367933,,drop_generator_fixed_forecasts:MiniMax-M3
canonical,answer_reveal,default,32,0.11882613413235889,0.10167494749008654,0.1361601469206398,0.011891721544956407,1.631985285328578e-11,,drop_generator_fixed_forecasts:MiniMax-M3
canonical,reasoning_elicitation,conditional,32,-0.000920037425949192,-0.0014822147514391602,-0.00029245922600440325,0.000314133299664,0.9968355118416256,,drop_generator_fixed_forecasts:MiniMax-M3
canonical,reasoning_elicitation,default,32,0.17073375526483792,0.16500604940320204,0.17634150117377365,0.0030712973666025965,6.42324673653298e-33,,drop_generator_fixed_forecasts:MiniMax-M3
explicit,affect_acknowledgement,conditional,32,-0.0006333626803920853,-0.005758498076717926,0.004850021013040472,0.00278911490443596,0.5890752319244821,,drop_generator_fixed_forecasts:MiniMax-M3
explicit,affect_acknowledgement,default,32,0.02032646688198724,0.01519557054171088,0.02535101386901481,0.002696378968821091,8.494567305653856e-09,,drop_generator_fixed_forecasts:MiniMax-M3
