classifier_variant,family,target_act,model,context_count,generic_match,pedagogy_match,mean_delta,context_bootstrap_ci_low,context_bootstrap_ci_high
hybrid_svm,hard,probing,minimax-m3,265,0.1509433962264151,0.41132075471698115,0.26037735849056604,0.18490566037735848,0.33584905660377357
hybrid_svm,hard,probing,qwen3.5-4b,265,0.16981132075471697,0.29056603773584905,0.12075471698113208,0.04905660377358491,0.19245283018867926
hybrid_svm,hard,probing,qwen3.8-27b,265,0.1660377358490566,0.27169811320754716,0.10566037735849057,0.04150943396226415,0.17358490566037735
hybrid_svm,standard,focus,deepseek-v4-flash,469,0.5010660980810234,0.5522388059701493,0.0511727078891258,-0.008528784648187633,0.10660980810234541
hybrid_svm,standard,focus,deepseek-v4-pro,469,0.5074626865671642,0.6183368869936035,0.11087420042643924,0.053304904051172705,0.16631130063965885
hybrid_svm,standard,focus,doubao-seed-2.0-lite,469,0.5031982942430704,0.6183368869936035,0.11513859275053305,0.05751599147121537,0.17270788912579957
hybrid_svm,standard,focus,doubao-seed-2.0-pro,469,0.5202558635394456,0.6226012793176973,0.1023454157782516,0.042643923240938165,0.16204690831556504
hybrid_svm,standard,focus,glm-5.2,469,0.5330490405117271,0.5650319829424307,0.031982942430703626,-0.027771855010660963,0.09168443496801706
hybrid_svm,standard,focus,minimax-m2.7,469,0.3603411513859275,0.5884861407249466,0.2281449893390192,0.16844349680170576,0.2835820895522388
hybrid_svm,standard,focus,minimax-m3,469,0.39872068230277186,0.5437100213219617,0.14498933901918976,0.08528784648187633,0.2025586353944563
hybrid_svm,standard,focus,qwen3.5-4b,469,0.4690831556503198,0.5479744136460555,0.07889125799573561,0.017057569296375266,0.13859275053304904
hybrid_svm,standard,focus,qwen3.8-27b,469,0.3795309168443497,0.5522388059701493,0.17270788912579957,0.11727078891257996,0.2302771855010661
hybrid_svm,standard,generic,deepseek-v4-flash,77,0.11688311688311688,0.22077922077922077,0.1038961038961039,0.012987012987012988,0.19480519480519481
hybrid_svm,standard,generic,deepseek-v4-pro,77,0.14285714285714285,0.15584415584415584,0.012987012987012988,-0.05194805194805195,0.07792207792207792
hybrid_svm,standard,generic,doubao-seed-2.0-lite,77,0.36363636363636365,0.2597402597402597,-0.1038961038961039,-0.22077922077922077,0.0
